id,name,quality,effect,craftable,price,exist,blue,purple,pink,red
47,Demoman's Fro,3,None,1,46.77,13217,0,0,0,0
47,Demoman's Fro,5,Purple Energy,1,2764.4,30,0,0,0,0
47,Demoman's Fro,5,Circling TF Logo,1,1036.65,19,0,0,0,0
47,Demoman's Fro,5,Massed Flies,1,621.99,15,0,0,0,0
47,Demoman's Fro,5,Burning Flames,1,6911,27,0,0,0,0
47,Demoman's Fro,5,Scorching Flames,1,6427.23,24,0,0,0,0
47,Demoman's Fro,5,Searing Plasma,1,1727.75,17,0,0,0,0
47,Demoman's Fro,5,Vivid Plasma,1,1243.98,25,0,0,0,0
47,Demoman's Fro,5,Sunbeams,1,5597.91,23,0,0,0,0
47,Demoman's Fro,5,Circling Peace Sign,1,5874.35,24,0,0,0,0
47,Demoman's Fro,5,Circling Heart,1,2073.3,21,0,0,0,0
47,Demoman's Fro,5,Stormy Storm,1,1174.87,27,0,0,0,0
47,Demoman's Fro,5,Blizzardy Storm,1,1451.31,33,0,0,0,0
47,Demoman's Fro,5,Nuts n' Bolts,1,691.1,14,0,0,0,0
47,Demoman's Fro,5,Orbiting Planets,1,967.54,29,0,0,0,0
47,Demoman's Fro,5,Orbiting Fire,1,760.21,23,0,0,0,0
47,Demoman's Fro,5,Bubbling,1,621.99,36,0,0,0,0
47,Demoman's Fro,5,Smoking,1,656.545,41,0,0,0,0
47,Demoman's Fro,5,Steaming,1,587.435,24,0,0,0,0
47,Demoman's Fro,5,Flaming Lantern,1,4146.6,3,0,0,0,0
47,Demoman's Fro,5,Cloudy Moon,1,7602.1,2,0,0,0,0
47,Demoman's Fro,5,Cauldron Bubbles,1,2280.63,6,0,0,0,0
47,Demoman's Fro,5,Eerie Orbiting Fire,1,1313.09,6,0,0,0,0
47,Demoman's Fro,5,Knifestorm,1,23151.85,2,0,0,0,0
47,Demoman's Fro,5,Stormy 13th Hour,1,22806.3,4,0,0,0,0
47,Demoman's Fro,5,Green Confetti,1,587.435,15,0,0,0,0
47,Demoman's Fro,5,Purple Confetti,1,967.54,12,0,0,0,0
47,Demoman's Fro,5,Haunted Ghosts,1,1243.98,19,0,0,0,0
47,Demoman's Fro,5,Green Energy,1,2349.74,26,0,0,0,0
47,Demoman's Fro,6,None,0,41.44,11396,0,0,0,0
47,Demoman's Fro,6,None,1,48.55,15306,0,0,0,0
48,Mining Light,3,None,1,107.1205,11096,0,0,0,0
48,Mining Light,5,Purple Energy,1,21424.1,18,0,0,0,0
48,Mining Light,5,Circling TF Logo,1,5390.58,18,0,0,0,0
48,Mining Light,5,Massed Flies,1,2764.4,17,0,0,0,0
48,Mining Light,5,Burning Flames,1,34555,19,0,0,0,0
48,Mining Light,5,Scorching Flames,1,17277.5,23,0,0,0,0
